ISO3,dam_HD,dam_FD,share_HD_%,share_FD_%,P_dam_HD,P_dam_FD
GUY,16583649.207824659,254066654.83793798,0.008399213080933316,0.013810840813833287,0.99,0.99
FJI,18371198.29984058,230778428.932004,0.009304563014974766,0.012544913252309713,0.99,0.99
SWZ,16853433.48232214,198664658.34800318,0.008535852223440032,0.010799236812595476,0.99,0.99
LVA,19317933.104319856,179612664.27604172,0.009784061058759078,0.009763587102948239,0.52,0.5500000000000002
SLE,16736076.943724524,175790367.10288176,0.008476414004398528,0.009555810376658242,0.99,0.99
KGZ,6158132.777858571,174783485.28227866,0.003118943770078618,0.009501077162842514,0.5900000000000001,0.6100000000000001
GEO,12404776.398832485,160995421.40847418,0.0062827161193186945,0.008751570087962712,0.86,0.91
GNQ,25558579.914708994,148222099.44774026,0.012944796169977757,0.008057223494640324,0.99,0.99
SUR,14959979.822652485,136225311.53582647,0.0075768642137964935,0.007405088612026755,0.99,0.99
BLZ,12454028.300725317,129695116.28558987,0.006307661004093749,0.0070501129181806035,0.99,0.99
DJI,12140501.035621502,127000605.56713964,0.006148867105761245,0.006903641675713066,0.99,0.99
ARM,7663124.283177877,125688382.2629422,0.003881185191116827,0.006832310366305172,0.65,0.71
CAF,13295539.531112613,105061042.34984429,0.006733865878874045,0.005711026236617464,0.99,0.99
SLB,5239818.460366881,104127065.8571961,0.0026538400084623105,0.005660256092569814,0.99,0.99
BDI,11064941.969484821,97326303.1902078,0.005604122721434231,0.005290572590945614,0.99,0.99
BTN,3990893.838176719,89564416.4069379,0.002021290206404882,0.004868643224232317,0.98,0.98
GMB,8674306.246691352,86450247.37021475,0.004393324146102615,0.004699359723172383,0.99,0.99
EST,10242041.210095953,80565353.70219377,0.005187343595443808,0.004379462058100135,0.45,0.49
GNB,7072198.27789314,68187272.14580666,0.0035818956094782217,0.0037066003869573655,0.99,0.99
LBR,2180814.639770573,63579521.15441279,0.0011045293240289544,0.0034561270791062604,0.99,0.99
VUT,3357963.7505464037,50038219.51339173,0.0017007265834820993,0.002720033783055529,0.99,0.99
LSO,4970663.883915508,42838161.12289854,0.0025175197926284648,0.002328644915654431,0.93,0.96
FIN,-50392552.65685037,36058667.94925241,-0.025522596513759644,0.001960117605057846,0.24,0.3199999999999999
ISL,-8396846.594978832,-56557417.05041862,-0.00425279761259421,-0.003074411650844766,0.17,0.18
NOR,-47260801.611863896,-82234363.27402127,-0.023936441137844808,-0.004470187956498635,0.24,0.2799999999999999
MNG,-15405836.44712093,-185333400.71904302,-0.007802679699008831,-0.01007456132505772,0.09,0.09
AFG,,,,,,
AGO,212978135.86504555,,0.10786822142055752,,,
ALB,26091125.05329944,,0.013214517269247382,,,
ARE,2520864286.9546094,,1.27675616077652,,,
ATF,,,,,0.0,0.0
ERI,,,,,,
ESH,,,,,,
FLK,,,,,0.0,0.0
GRL,-7962417.247602394,,-0.004032769763988738,,,
LBY,,,,,,
MMR,210711491.6100412,,0.10672022149376986,,,
MNE,7277136.916445123,,0.0036856920219651857,,0.87,0.0
NCL,,,,,,
PRK,,,,,0.0,0.0
PSE,62181447.1896861,,0.0314933835178177,,,
QAT,647173675.5767511,,0.3277776521572341,,,
SOM,,,,,,
TLS,,,,,,
TWN,,,,,,
