year_cat,emitter,total_damages,discount_rate
2021-2100,2000,1042.9785080068266,3%
2021-2100,2001,1022.9252429829,3%
2021-2100,2002,1002.8292855272447,3%
2021-2100,2003,982.9623464816386,3%
2021-2100,2004,963.1800480755767,3%
2021-2100,2005,943.192463712281,3%
2021-2100,2006,922.9446867637998,3%
2021-2100,2007,902.651902745271,3%
2021-2100,2008,882.3855853014528,3%
2021-2100,2009,862.1598748492128,3%
2021-2100,2010,842.0396176466945,3%
2021-2100,2011,821.8069900562269,3%
2021-2100,2012,801.4649707851981,3%
2021-2100,2013,781.1591571849368,3%
2021-2100,2014,760.6581293649049,3%
2021-2100,2015,739.833845232229,3%
2021-2100,2016,718.9115121678135,3%
2021-2100,2017,698.0987855844162,3%
2021-2100,2018,677.3443981046037,3%
2021-2100,2019,656.4089907315191,3%
2021-2100,2020,635.5966964172812,3%
2021-2100,1990,649.1670944694891,5%
2021-2100,1991,637.0077369791172,5%
2021-2100,1992,625.2485064154549,5%
2021-2100,1993,613.5721389122931,5%
2021-2100,1994,601.7866863747364,5%
2021-2100,1995,590.1065067072979,5%
2021-2100,1996,578.5037774363391,5%
2021-2100,1997,566.5928336946819,5%
2021-2100,1998,554.3748739527657,5%
2021-2100,1999,542.2099903887641,5%
2021-2100,2000,530.1383870401262,5%
2021-2100,2001,517.9686579157157,5%
2021-2100,2002,505.77031378443223,5%
2021-2100,2003,493.7044260206317,5%
2021-2100,2004,481.6848805457757,5%
2021-2100,2005,469.53756340076416,5%
2021-2100,2006,457.2280664161492,5%
2021-2100,2007,444.8893131930298,5%
2021-2100,2008,432.56946724430156,5%
2021-2100,2009,420.27848023370444,5%
2021-2100,2010,408.05163698709,5%
2021-2100,2011,395.7534087342696,5%
2021-2100,2012,383.38979032163377,5%
2021-2100,2013,371.0525938930394,5%
2021-2100,2014,358.60332495093246,5%
2021-2100,2015,345.96902513787177,5%
2021-2100,2016,333.29041765565205,5%
2021-2100,2017,320.6945274215071,5%
2021-2100,2018,308.15296826177746,5%
2021-2100,2019,295.5284353597172,5%
2021-2100,2020,283.01654100179104,5%
2021-2100,1990,399.2230484176405,7%
2021-2100,1991,390.8487974091013,7%
2021-2100,1992,382.7449665701447,7%
2021-2100,1993,374.69417996874034,7%
2021-2100,1994,366.5667433913636,7%
2021-2100,1995,358.5115097178514,7%
2021-2100,1996,350.50892431579126,7%
2021-2100,1997,342.2904383780482,7%
2021-2100,1998,333.8575787619284,7%
2021-2100,1999,325.4585974020257,7%
2021-2100,2000,317.1219142876942,7%
2021-2100,2001,308.7170115136792,7%
2021-2100,2002,300.2904890342528,7%
2021-2100,2003,291.951630657118,7%
2021-2100,2004,283.6416673215181,7%
2021-2100,2005,275.24130635294887,7%
2021-2100,2006,266.7264633214915,7%
2021-2100,2007,258.19033014554765,7%
2021-2100,2008,249.66864150425795,7%
2021-2100,2009,241.1691982672761,7%
2021-2100,2010,232.71461361390192,7%
2021-2100,2011,224.20983164748736,7%
2021-2100,2012,215.6615473389294,7%
2021-2100,2013,207.13549083501164,7%
2021-2100,2014,198.53728207415634,7%
2021-2100,2015,189.8193874585997,7%
2021-2100,2016,181.08192050653437,7%
2021-2100,2017,172.41382988791128,7%
2021-2100,2018,163.79724168100716,7%
2021-2100,2019,155.14227436429138,7%
2021-2100,2020,146.59255811964005,7%
