year,discount_rate_pct,sc_co2_cad2021,source
2037,1.5,533,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2037,2.0,327,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2037,2.5,210,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2038,1.5,540,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2038,2.0,331,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2038,2.5,214,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2039,1.5,545,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2039,2.0,336,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2039,2.5,217,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2040,1.5,551,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2040,2.0,341,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2040,2.5,221,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2041,1.5,558,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2041,2.0,347,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2041,2.5,225,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2042,1.5,564,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2042,2.0,352,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2042,2.5,229,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2043,1.5,570,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2043,2.0,357,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2043,2.5,233,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2044,1.5,577,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2044,2.0,362,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2044,2.5,238,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2045,1.5,583,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2045,2.0,367,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2045,2.5,242,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2046,1.5,591,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2046,2.0,372,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2046,2.5,246,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2047,1.5,597,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2047,2.0,379,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2047,2.5,249,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2048,1.5,604,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2048,2.0,384,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2048,2.5,254,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2049,1.5,610,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2049,2.0,389,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2049,2.5,258,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2050,1.5,616,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2050,2.0,394,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2050,2.5,262,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2051,1.5,623,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2051,2.0,399,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2051,2.5,266,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2052,1.5,628,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2052,2.0,403,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2052,2.5,270,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2053,1.5,634,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2053,2.0,408,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2053,2.5,274,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
