year,discount_rate_pct,sc_ch4_cad2021,source
2036,1.5,4826,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2036,2.0,3745,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2036,2.5,3057,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2037,1.5,4955,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2037,2.0,3858,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2037,2.5,3156,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2038,1.5,5083,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2038,2.0,3971,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2038,2.5,3256,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2039,1.5,5212,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2039,2.0,4083,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2039,2.5,3355,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2040,1.5,5341,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2040,2.0,4194,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2040,2.5,3455,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2041,1.5,5479,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2041,2.0,4316,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2041,2.5,3563,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2042,1.5,5619,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2042,2.0,4439,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2042,2.5,3671,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2043,1.5,5757,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2043,2.0,4560,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2043,2.5,3779,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2044,1.5,5895,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2044,2.0,4682,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2044,2.5,3887,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2045,1.5,6033,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2045,2.0,4803,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2045,2.5,3995,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2046,1.5,6173,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2046,2.0,4924,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2046,2.5,4104,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2047,1.5,6311,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2047,2.0,5046,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2047,2.5,4211,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2048,1.5,6449,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2048,2.0,5167,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2048,2.5,4320,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2049,1.5,6587,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2049,2.0,5289,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2049,2.5,4427,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2050,1.5,6726,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2050,2.0,5410,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2050,2.5,4536,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2051,1.5,6858,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2051,2.0,5524,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2051,2.5,4634,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2052,1.5,6990,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2052,2.0,5638,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2052,2.5,4733,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2053,1.5,7121,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2053,2.0,5751,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2053,2.5,4832,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2054,1.5,7253,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2054,2.0,5864,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2054,2.5,4931,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2055,1.5,7384,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2055,2.0,5978,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2055,2.5,5029,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2056,1.5,7515,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2056,2.0,6091,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2056,2.5,5129,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2057,1.5,7647,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2057,2.0,6204,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2057,2.5,5228,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2058,1.5,7779,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2058,2.0,6318,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2058,2.5,5326,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2059,1.5,7910,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2059,2.0,6431,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2059,2.5,5426,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2060,1.5,8042,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2060,2.0,6545,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
